cell_type,name,n_genes,genes_available
Ex1,Ex1-CortProject_L23,18,"CAMK2A, CCDC88C, CDH9, DNM1, GNAL, GPR83, GREB1L, HPCAL1, JAG1, KCNK1, KCNV1, LAMP5, MDGA1, NECAB2, PCDH8, PDGFD, SERPINE2"
Ex2,Ex2-Granule_L34,11,"ADCY8, CLMN, COL5A2, GLIS3, LAMA2, OVOL2, PTPRK, SYT10, TRHDE"
Ex3,Ex3-Granule_L4,9,"CHN1, HR, HTR2A, NTNG1, PRDM8, TRIM66, TRPC3, VAV3, VIPR2"
Ex4,Ex4-SubcortProject_L4,17,"ANO3, ANXA1, COL6A1, CXXC4, GABRG1, LMO4, NEUROD6, PAPSS2, PCDH20, PLCXD2, PLCXD3, SCN2A, SLC17A7, TNNT2, TSHZ2"
Ex5,Ex5-SubcortProject_L456,15,"ABCC9, ACOT11, ADTRP, ARSJ, CELF4, CPNE4, IFITM10, IL1RAPL2, KHDRBS3, NEUROD2, RCSD1, RNF182, SORCS2, SV2B, TLL1"
Ex6,Ex6-SubcortProject_L56,38,"ADAMTSL1, ANKRD18A, ATP2C2, BCL11B, CNTNAP3, DLC1, FEZF2, FOXP2, GHR, GRIK3, GRM4, HS3ST4, ITGA8, KIAA1217, LRRC3B, LUZP2, MCC, PCSK5, PDE9A, RASL10A, RGS9, RYR2, RYR3, SDK2, SEMA3E, SEMA5A, SULF1, SYT6, TLE4, TSPAN18, UNC80, VAV2, ZFHX3, ZNF385D"
Ex7,Ex7-CorticothalProject,6,"CHST8, COBL, DPYD, NELL1, PRRX1, SNTG2"
Ex8,Ex8-CorticothalProject_L6,65,"ADRA2A, ANKRD13A, ATP10A, ATP8B1, B3GAT2, CDC14A, CDK18, CLTCL1, CREB5, CRTAC1, CTNNA3, FAM151B, FRAS1, GALNT14, GFRA1, GNG4, GPR153, HGF, HPSE2, ITGA11, ITGB8, KLHL1, LIMS1, LIMS2, LTBP1, MGAT5, MYO10, NFASC, NPTX1, NR4A2, NTNG2, OLFML2B, PDE1A, PDLIM5, PLD5, PTPRU, RASGEF1C, RASSF3, RGS12, RNF152, RRBP1, SATB2, SEC14L5, SFMBT2, SFXN5, SNTB1, SPOCK3, SWAP70, SYNPR, SYT10, TESC, THEMIS, TRPC5, TRPM4"
In1,In1-VIP_RELN_NDNF_L12,2,"CNR1, SDK2"
In2,In2-VIP_L6,7,"CCDC141, COL21A1, GABRA1, GPR149, KCNT2, PPP1R1C, SLC7A11"
